collectionName,latDeg,lngDeg,area_target,area,phoneName
2020-05-14-US-MTV-1,37.4222864,-122.4061059,0,MTV,"['Pixel4', 'Pixel4XLModded']"
2020-05-14-US-MTV-2,37.4196422,-122.4072529,0,MTV,"['Pixel4', 'Pixel4XLModded']"
2020-05-21-US-MTV-1,37.4222928,-122.4288183,0,MTV,['Pixel4']
2020-05-21-US-MTV-2,37.4149044,-122.4263183,0,MTV,"['Pixel4', 'Pixel4XL']"
2020-05-29-US-MTV-1,37.3329078,-122.3550937,0,MTV,"['Pixel4', 'Pixel4XL', 'Pixel4XLModded']"
2020-05-29-US-MTV-2,37.3228439,-122.3569474,0,MTV,"['Pixel4', 'Pixel4XL']"
2020-06-04-US-MTV-1,37.412854,-122.4208494,0,MTV,"['Pixel4', 'Pixel4XL', 'Pixel4XLModded']"
2020-06-05-US-MTV-1,37.3329109,-122.3645101,0,MTV,"['Pixel4', 'Pixel4XL', 'Pixel4XLModded']"
2020-06-05-US-MTV-2,37.3874426,-122.4292409,0,MTV,"['Pixel4', 'Pixel4XL']"
2020-06-11-US-MTV-1,37.3329084,-122.3645031,0,MTV,"['Pixel4', 'Pixel4XL']"
2020-07-08-US-MTV-1,37.4222873,-122.4223306,0,MTV,"['Pixel4', 'Pixel4XL', 'Pixel4XLModded']"
2020-07-17-US-MTV-1,37.3329195,-122.3551163,0,MTV,['Mi8']
2020-07-17-US-MTV-2,37.3316408,-122.3569608,0,MTV,['Mi8']
2020-08-03-US-MTV-1,37.4222881,-122.4227118,0,MTV,"['Mi8', 'Pixel4']"
2020-08-06-US-MTV-2,37.3316346,-122.3569606,0,MTV,"['Mi8', 'Pixel4', 'Pixel4XL']"
2020-09-04-US-SF-1,37.4128158,-122.4722137,0,SF,"['Mi8', 'Pixel4', 'Pixel4XL']"
2020-09-04-US-SF-2,37.3316536,-122.429067,0,SF,"['Mi8', 'Pixel4', 'Pixel4XL']"
2021-01-04-US-RWC-1,37.4351089,-122.2942954,0,RWC,"['Pixel4', 'Pixel4Modded', 'Pixel4XL', 'Pixel5']"
2021-01-04-US-RWC-2,37.4350772,-122.2943458,0,RWC,"['Pixel4', 'Pixel4Modded', 'Pixel4XL', 'Pixel5']"
2021-01-05-US-SVL-1,37.3500784,-122.0723561,0,SVL,"['Mi8', 'Pixel4', 'Pixel4XL', 'Pixel5']"
2021-01-05-US-SVL-2,37.3519965,-122.072138,0,SVL,"['Pixel4', 'Pixel4Modded', 'Pixel4XL']"
2021-03-10-US-SVL-1,37.3520938,-122.0487263,1,SVL,"['Pixel4XL', 'SamsungS20Ultra']"
2021-04-15-US-MTV-1,37.4196324,-122.1299044,1,MTV,"['Pixel4', 'Pixel4Modded', 'Pixel5', 'SamsungS20Ultra']"
2021-04-22-US-SJC-1,37.3284435,-121.9003991,2,SJC,"['Pixel4', 'SamsungS20Ultra']"
2021-04-26-US-SVL-1,37.3521254,-122.0485859,1,SVL,"['Mi8', 'Pixel5']"
2021-04-28-US-MTV-1,37.3826582,-122.1032667,1,MTV,"['Pixel4', 'Pixel5', 'SamsungS20Ultra']"
2021-04-28-US-SJC-1,37.3284746,-121.9004782,2,SJC,"['Pixel4', 'SamsungS20Ultra']"
2021-04-29-US-MTV-1,37.3826624,-122.1034078,1,MTV,"['Pixel4', 'Pixel5', 'SamsungS20Ultra']"
2021-04-29-US-SJC-2,37.3216831,-121.9004091,2,SJC,"['Pixel4', 'SamsungS20Ultra']"
